,ResponseId,ExternalReference,HUB_01,MOTIVATION_01,MOTIVATION_01_8_TEXT,PROFICIENCY_01,PROFICIENCY_02,PROFICIENCY_03,PROFICIENCY_05,PROFICIENCY_04,PRIOR_01,PRIOR_02,PRIOR_02_17_TEXT,PRIOR_05,PRIOR_06,PRIOR_06_3_TEXT,PRIOR_07,PRIOR_04,BELONG_01,BELONG_02,MENTOR_02,MENTOR_03,MENTOR_06_1,MENTOR_06_2,MENTOR_06_3,MENTOR_06_4,MENTOR_06_5,MENTOR_06_6,MENTOR_07_1,MENTOR_07_2,MENTOR_07_3,MENTOR_07_4,MENTOR_07_5,MENTOR_08,ACCESS_01,ACCESS_01_7_TEXT,PLANS_01,PLANS_02,PLANS_02_9_TEXT,PLANS_03,INTEREST_01,INTEREST_02,INTEREST_03,INTEREST_04,INTEREST_05,INTEREST_06,TESTIMONIAL,END,START,CLUSTER_SIZE
0,Response ID,External Data Reference,Which Discovery Hub are you participating in this term?,"Why do you choose to pursue research? Please select all that apply. -
Selected Choice","Why do you choose to pursue research? Please select all that apply. -
Other - Text",AppREDACTEDg knowledge from your major(s) to a research project/context.,AppREDACTEDg knowledge from your major(s) to real-world situations.,Engaging in research specific to your major(s).,Engaging in research not specific to your major(s).,Presenting your own research to a general audience.,"Prior to the Discovery Hubs, did you have any previous formal research
experience?","How did you obtain your previous formal research position(s)? Please
select all that apply. - Selected Choice","How did you obtain your previous formal research position(s)? Please
select all that apply. - Other - Text","What are the main differences between your prior research experiences
and your experiences in the Discovery Hubs?","Before deciding to pursue research through the Discovery Hubs, did you
consider any of the following other avenues for research involvement?
Please select all that apply. - Selected Choice","Before deciding to pursue research through the Discovery Hubs, did you
consider any of the following other avenues for research involvement?
Please select all that apply. - Other - Text","Why did you ultimately choose the Discovery Hubs over other avenues
for research involvement?","Describe the impact of your research experience in the Discovery Hubs
on your academic and career goals (e.g., skills gained, new interests,
or change in career path).",I identify as a researcher in my major(s).,I identify as a researcher outside of my major(s).,I know how to clarify expectations with my research mentor(s).,I know how to communicate my needs and goals to my research mentor(s).,My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions.,My mentor is supportive of work-life balance.,My mentor motivates me to improve my work.,My mentor demonstrates professional expertise.,"My mentor is helpful in providing direction and guidance on
professional issues.",My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.,"How much time, on average, did you spend speaking with (each of) your
mentor(s) per week?","Please tell us whether the following factors have limited your
engagement in research opportunities in the Discovery Hubs. Please
select all that apply. - Selected Choice","Please tell us whether the following factors have limited your
engagement in research opportunities in the Discovery Hubs. Please
select all that apply. - Other - Text","Do you plan to continue the same type of work that you are doing in
the Discovery Hubs?","If you do not plan to participate in similar work to your Discovery
Hub group, do you have plans to participate in any of the following? -
Selected Choice","If you do not plan to participate in similar work to your Discovery
Hub group, do you have plans to participate in any of the following? -
Other - Text","How certain are you about your plans for the future from the previous
question?","Would you be interested in participating in future opportunities with
the Discovery Hubs?","What would make you more likely to participate in future opportunities
with the Discovery Hubs?",What is your preferred length of project?,"Assuming the Discovery Hubs starts in the Fall term, what is the
latest month you would ideally want to be notified of the application
for the opportunity?","Assuming the Discovery Hubs starts in the Fall term, what is the
latest month you would ideally want to receive a final acceptance
offer for the position?","Please let us know any other information that might be relevant about
your interest in participating in future opportunities with the
Discovery Hubs.","Please tell us something that was special about this program, or
personal/academic/professional growth that you experienced as a result
of your participation in the Discovery Research Hub. Please take a
moment to note your thoughts, which are vital to our fundraising
efforts for this program.  For example, testimonials that we share
with donors show where there is impact and need. This helps us secure
resources, funding, and expanded opportunities for undergraduate
researchers in the coming academic terms.  Thank you!",Latest Discovery Hubs pre-survey date,,
1,"{""ImportId"":""_recordId""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID56_8_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID54""}","{""ImportId"":""QID28""}","{""ImportId"":""QID86""}","{""ImportId"":""QID29""}","{""ImportId"":""QID21""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_17_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_3_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID88""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID61""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID75""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_7_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID78_9_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID89_TEXT""}",,,
2,R_18UqsIoQ7JCDc4m,REDACTED,CICI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To build mentorship connections",,Fair,Good,Fair,Very Good,Very Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,My prior experiences focused more on digitization while this one was more concerned with research and literary analysis.,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,It sounded like a good opportunity to participate in research outside of my coursework.,Discovery Hubs helped me gain skills in literary analysis and map-building skills. I am also more interested in the Italian literary field following my involvement.,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,No.,Non-academic/industry research.,,Strongly considering,Yes,A research project concerned with my major.,Semester long,July,August,,"This program was an amazing experience, where I got to delve into research I would have otherwise never known about or considered. ",2026_05_16,2025_10_01,6.0
3,R_7i4D9xiTs1Y2oau,REDACTED,Molecular Foundry,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Very Good,Good,Very Good,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"I really appreciated the structure of the CICI group under my mentor Yvonne Lin. I liked how Discovery Hubs allowed me to do an independent research project, while still having structured mentorship. I didn't enjoy my previous research through URAP as much as I because I didn't get to choose the project, since I was just working on a project that my professor assigned to me. ","Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"I liked the topic of my CICI Discovery Hub cluster more than the URAP listings. I also liked that the Discovery Hub allowed me to do my own research, rather than working for a professor, and that my group was collaborative in discussion.  ","I learned how to do readings for the purpose of advancing my own research, rather than for the all the content. It was a different type of reading that I didn’t know about before. Additionally, the subject that I ended up writing my research paper about (Education Technology) ended up being something I really enjoyed researching, and I can see myself pursuing this research further in the future, e.g. through grad school. Previously, I was interested in grad school, but I didn’t know my research interests; thus, I think Discovery Hub was really helpful in helping me discover and refine my research interests. ",Somewhat Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,More than 5 hrs/week,"My academic workload and responsibilities,My family responsibilities/commitments",,No.,Professional practice.,,Position secured or offered accepted,"I would be interested, but I am not eligible due to graduating this semester",,Year long,August,August,,"I really enjoyed my Discovery Hubs experience, as it allowed me to experience the structure of a grad class, receive support from a knowledgeable and caring graduate mentor who graciously provided insights about the hidden curriculum of grad school, and conduct an independent research project, which has helped me discover and refine my research interests. Now, I feel more prepared for grad school, feel more confident in my ability to conduct research, and have begun to see grad school as a more realistic option for me. ",2026_05_16,2025_10_01,4.0
4,R_7i4D9xiTs1Y2oau,REDACTED,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Very Good,Good,Very Good,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"I really appreciated the structure of the CICI group under my mentor Yvonne Lin. I liked how Discovery Hubs allowed me to do an independent research project, while still having structured mentorship. I didn't enjoy my previous research through URAP as much as I because I didn't get to choose the project, since I was just working on a project that my professor assigned to me. ","Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"I liked the topic of my CICI Discovery Hub cluster more than the URAP listings. I also liked that the Discovery Hub allowed me to do my own research, rather than working for a professor, and that my group was collaborative in discussion.  ","I learned how to do readings for the purpose of advancing my own research, rather than for the all the content. It was a different type of reading that I didn’t know about before. Additionally, the subject that I ended up writing my research paper about (Education Technology) ended up being something I really enjoyed researching, and I can see myself pursuing this research further in the future, e.g. through grad school. Previously, I was interested in grad school, but I didn’t know my research interests; thus, I think Discovery Hub was really helpful in helping me discover and refine my research interests. ",Somewhat Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,More than 5 hrs/week,"My academic workload and responsibilities,My family responsibilities/commitments",,No.,Professional practice.,,Position secured or offered accepted,"I would be interested, but I am not eligible due to graduating this semester",,Year long,August,August,,"I really enjoyed my Discovery Hubs experience, as it allowed me to experience the structure of a grad class, receive support from a knowledgeable and caring graduate mentor who graciously provided insights about the hidden curriculum of grad school, and conduct an independent research project, which has helped me discover and refine my research interests. Now, I feel more prepared for grad school, feel more confident in my ability to conduct research, and have begun to see grad school as a more realistic option for me. ",2026_05_16,2025_10_01,4.0
5,R_7NXloOmdfSTc8GK,REDACTED,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Excellent,Excellent,Excellent,Good,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,A major difference from my previous research experiences and my experience with the discovery hub is that unlike in my prior research positions through the discovery hub I was able to be financially compensated for my research,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"I selected the discovery hub research position over other research opportunities for several reasons. This included having the opportunity of gaining research experience in an area that aligned with my major and interest, the opportunity for mentorship, and the opportunity to be financially compensated",I feel like I have a better understanding of how important and valuable having mentorship Incorporated in your academic and professional Journey can be. Also I feel more confident in my ability to pursue and get into graduate school,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments,Transportation to/from research site (cost or time)",,"Yes, in a different group.",,,Exploring options,Yes,If there is an opportunity for my engagement in research to be financially compensated and if research opportunity aligns with my interests,Semester long,June,August,,"Having dedicated mentorship and the opportunity to gain research experience in an area aligned with my major was truly invaluable. For many students, including myself, it was also crucial that the Discovery Hub research positions offered financial compensation. Without that support, I would not have been able to participate in research at all.",2026_05_16,2025_10_01,3.0
6,R_6wlcjtRHyJmE34d,REDACTED,CICI,"To make my undergraduate experience complete,To shape knowledge, not just consume it,To prepare for graduate school",,Very Good,Good,Very Good,Fair,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,The main difference is that we have a final presentation at the end. ,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Because of the year long process and the consistent mentorship + workshops. ,Helped me learn new coding skills ,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,My academic workload and responsibilities,,No.,None of the above.,,Strongly considering,Yes,I’m not sure ,Year long,June,August,,,2026_05_16,,3.0
7,R_66fkOCY6K0HjqcX,REDACTED,CICI,"To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Good,Excellent,Fair,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"i really liked how my experience in the discovery hub program was much more student-driven. instead of just doing labor for other people's projects, i liked how the focus of the program was on developing my own research questions and being able to explore those questions through my paper. i really love how, at the end of the program, i now have my own work product that i've developed, which tangibly demonstrates the work that i've done over the past year, rather than just having random tasks i've done for other people's projects.","Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"i really liked a lot of the differences i mentioned earlier, such as the opportunity to develop my own project. i also really felt that the projects under discover hubs were much more relevant to my own personal interests, and i really liked the more hands-on mentorship within the program. ","i really feel like my experience has given me a much more concrete understanding of what grad school entails and how to get there. in all my time at berkeley, i think that this program has given me the most direct support for my long-term career goals of going into academia for literature.",Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in a different group.",,,Exploring options,Yes,interest in the projects that are being offered,Year with possibility of extending into summer,August,August,,"the opportunity to work under the CICI program this year was the most special and exciting thing i've done throughout all of my time at berkeley. i really feel like this program materially changed my outlook on my academic work, as well as my career goals. i don't say this about many things, but i really feel like my time under this program genuinely transformed my life, and is one of the things that makes me extremely glad that i stayed in berkeley for (rather than transferring, which i had been considering for some time last year). ",2026_05_16,2025_10_01,4.0
8,R_5fN3j5t9qzRIaD1,REDACTED,CICI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections,To prepare for graduate school",,Very Good,Very Good,Very Good,Fair,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"The Discovery Hubs research project felt more collaborative, and there were several more opportunities for mentorship and gain insight into what graduate-level work looks like ","Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I appreciated the direct mentorship aspect and also enjoyed getting to know other undergraduates in different disciplines ,"I learned more about my own research interests and helped clarify what I would look for in a graduate program, should I continue this research",Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,No.,Government / nonprofit.,,Position secured or offered accepted,Yes,,Year long,June,August,,"The Discovery Research Hub helped me recognize how essential interdisciplinary research is in shaping a research project. I learned how to work collaboratively with people who have different trainings, and I learned how my own disciplinary perspective brings in new insight. I am glad to have received mentorship from a PhD student who modeled to me what rigorous research practically looks like. ",2026_05_16,2025_10_01,5.0
9,R_50eGVsbheXy0nNN,REDACTED,NASA Biosciences,"To explore career interests,To build mentorship connections,To prepare for graduate school",,Excellent,Excellent,Excellent,Excellent,Excellent,Yes,Friend or acquaintance connected me to a research group,,Idk man,Reaching out directly to a professor,,Idk man,Idk man,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Position secured or offered accepted,Yes,Idk man,Year with possibility of extending into summer,March,August,,N/a,2026_05_16,,4.0
