StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,HUB_01,MOTIVATION_01,MOTIVATION_01_8_TEXT,PROFICIENCY_01,PROFICIENCY_02,PROFICIENCY_03,PROFICIENCY_05,PROFICIENCY_04,PRIOR_01,PRIOR_02,PRIOR_02_17_TEXT,PRIOR_05,PRIOR_06,PRIOR_06_3_TEXT,PRIOR_07,PRIOR_04,BELONG_01,BELONG_02,MENTOR_02,MENTOR_03,MENTOR_06_1,MENTOR_06_2,MENTOR_06_3,MENTOR_06_4,MENTOR_06_5,MENTOR_06_6,MENTOR_07_1,MENTOR_07_2,MENTOR_07_3,MENTOR_07_4,MENTOR_07_5,MENTOR_08,ACCESS_01,ACCESS_01_7_TEXT,PLANS_01,PLANS_02,PLANS_02_9_TEXT,PLANS_03,INTEREST_01,INTEREST_02,INTEREST_03,INTEREST_04,INTEREST_05,INTEREST_06,TESTIMONIAL,CALNETUSER
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which Discovery Hub are you participating in this term?,Why do you choose to pursue research? Please select all that apply. - Selected Choice,Why do you choose to pursue research? Please select all that apply. - Other - Text,AppREDACTEDg knowledge from your major(s) to a research project/context.,AppREDACTEDg knowledge from your major(s) to real-world situations.,Engaging in research specific to your major(s).,Engaging in research not specific to your major(s).,Presenting your own research to a general audience.,"Prior to the Discovery Hubs, did you have any previous formal research experience?",How did you obtain your previous formal research position(s)? Please select all that apply. - Selected Choice,How did you obtain your previous formal research position(s)? Please select all that apply. - Other - Text,What are the main differences between your prior research experiences and your experiences in the Discovery Hubs?,"Before deciding to pursue research through the Discovery Hubs, did you consider any of the following other avenues for research involvement? Please select all that apply. - Selected Choice","Before deciding to pursue research through the Discovery Hubs, did you consider any of the following other avenues for research involvement? Please select all that apply. - Other - Text",Why did you ultimately choose the Discovery Hubs over other avenues for research involvement?,"Describe the impact of your research experience in the Discovery Hubs on your academic and career goals (e.g., skills gained, new interests, or change in career path).",I identify as a researcher in my major(s).,I identify as a researcher outside of my major(s).,I know how to clarify expectations with my research mentor(s).,I know how to communicate my needs and goals to my research mentor(s).,My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions.,My mentor is supportive of work-life balance.,My mentor motivates me to improve my work.,My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.,"How much time, on average, did you spend speaking with (each of) your mentor(s) per week?",Please tell us whether the following factors have limited your engagement in research opportunities in the Discovery Hubs. Please select all that apply. - Selected Choice,Please tell us whether the following factors have limited your engagement in research opportunities in the Discovery Hubs. Please select all that apply. - Other - Text,Do you plan to continue the same type of work that you are doing in the Discovery Hubs?,"If you do not plan to participate in similar work to your Discovery Hub group, do you have plans to participate in any of the following? - Selected Choice","If you do not plan to participate in similar work to your Discovery Hub group, do you have plans to participate in any of the following? - Other - Text",How certain are you about your plans for the future from the previous question?,Would you be interested in participating in future opportunities with the Discovery Hubs?,What would make you more likely to participate in future opportunities with the Discovery Hubs?,What is your preferred length of project?,"Assuming the Discovery Hubs starts in the Fall term, what is the latest month you would ideally want to be notified of the application for the opportunity?","Assuming the Discovery Hubs starts in the Fall term, what is the latest month you would ideally want to receive a final acceptance offer for the position?",Please let us know any other information that might be relevant about your interest in participating in future opportunities with the Discovery Hubs.,"Please tell us something that was special about this program, or personal/academic/professional growth that you experienced as a result of your participation in the Discovery Research Hub. Please take a moment to note your thoughts, which are vital to our fundraising efforts for this program.

For example, testimonials that we share with donors show where there is impact and need. This helps us secure resources, funding, and expanded opportunities for undergraduate researchers in the coming academic terms.

Thank you!",CALNETUSER
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID56_8_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID54""}","{""ImportId"":""QID28""}","{""ImportId"":""QID86""}","{""ImportId"":""QID29""}","{""ImportId"":""QID21""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_17_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_3_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID88""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID61""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID75""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_7_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID78_9_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""CALNETUSER""}"
2026-05-07 09:00:51,2026-05-07 09:08:11,IP Address,136.25.68.76,100,439,True,2026-05-07 09:08:11,R_3dfH3sNeYVFXxVo,,,,REDACTED,37.7688,-122.262,anonymous,EN,Kavli ENSI,To prepare for graduate school,,Good,Good,Good,Good,Good,No,,,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,They accepted me.,This program has solidified both my plans to apply to graduate school and my plan to change majors in graduate school.,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in the same group.",,,Position secured or offered accepted,Yes,My mentor.,Year with possibility of extending into summer,July,August,,,REDACTED
2026-05-07 09:03:19,2026-05-07 09:54:36,IP Address,136.152.209.44,100,3077,True,2026-05-07 09:54:37,R_1pYU6sXQm3ffw82,,,,REDACTED,37.8657,-122.2571,anonymous,EN,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests",,Good,Very Good,Very Good,Fair,Good,Yes,Other,,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,I was able to explore the physics-adjacent side of materials science in more depth.,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"More than zero, but less than one hour per week",My academic workload and responsibilities,,,,,Exploring options,Yes,,Year long,July,August,,Discovery Hubs provided me with the opportunity to do materials physics research at a national lab starting in my very first year at Berkeley - I learned a lot both in terms of the topics I was studying as well as my future career interests regarding going into industry vs. academia. I'm very grateful for the opportunity!,REDACTED
2026-05-07 11:55:25,2026-05-07 12:09:28,IP Address,136.152.214.176,100,842,True,2026-05-07 12:09:28,R_66fkOCY6K0HjqcX,,,,REDACTED,37.8657,-122.2571,anonymous,EN,CICI,"To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Good,Excellent,Fair,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"i really liked how my experience in the discovery hub program was much more student-driven. instead of just doing labor for other people's projects, i liked how the focus of the program was on developing my own research questions and being able to explore those questions through my paper. i really love how, at the end of the program, i now have my own work product that i've developed, which tangibly demonstrates the work that i've done over the past year, rather than just having random tasks i've done for other people's projects.","Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"i really liked a lot of the differences i mentioned earlier, such as the opportunity to develop my own project. i also really felt that the projects under discover hubs were much more relevant to my own personal interests, and i really liked the more hands-on mentorship within the program. ","i really feel like my experience has given me a much more concrete understanding of what grad school entails and how to get there. in all my time at berkeley, i think that this program has given me the most direct support for my long-term career goals of going into academia for literature.",Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in a different group.",,,Exploring options,Yes,interest in the projects that are being offered,Year with possibility of extending into summer,August,August,,"the opportunity to work under the CICI program this year was the most special and exciting thing i've done throughout all of my time at berkeley. i really feel like this program materially changed my outlook on my academic work, as well as my career goals. i don't say this about many things, but i really feel like my time under this program genuinely transformed my life, and is one of the things that makes me extremely glad that i stayed in berkeley for (rather than transferring, which i had been considering for some time last year). ",REDACTED
2026-05-07 13:14:35,2026-05-07 13:23:52,IP Address,136.152.214.221,100,556,True,2026-05-07 13:23:52,R_1zTvekgNc4w54WL,,,,REDACTED,37.8657,-122.2571,anonymous,EN,Molecular Foundry,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Very Good,Excellent,Poor,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"With the Discovery Hub, it's more engaging &. ""real-world"" + better/stronger relationship with mentors","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Learned a lot and gained skills at a national lab!,Somewhat Agree,Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Agree,3-4 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Strongly considering,Yes,,Year with possibility of extending into summer,June,August,,"This was a great opportunity to do ""real"" research at a national lab, and to have great mentors guiding you through it. It was fun, educational, and really shaped my skills as a researcher.  ",REDACTED
2026-05-07 13:20:48,2026-05-07 13:25:03,IP Address,71.202.181.185,100,254,True,2026-05-07 13:25:03,R_1gZOUnFD6I3NQiZ,,,,REDACTED,37.8657,-122.2571,anonymous,EN,Kavli ENSI,"To make my undergraduate experience complete,To gain hands-on skills,To build mentorship connections",,Very Good,Good,Good,Fair,Fair,No,,,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Year long,,,,,REDACTED
2026-05-07 18:30:28,2026-05-07 18:39:10,IP Address,67.180.102.118,100,522,True,2026-05-07 18:39:11,R_3QFcojTQbHkKEXG,,,,REDACTED,37.7652,-122.1579,anonymous,EN,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Very Good,Very Good,Good,Very Good,Yes,"Participated in the Discovery Hubs in a previous academic term,Reached out directly to a professor,Friend or acquaintance connected me to a research group",,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in a different group.",,,Actively appREDACTEDg,Yes,Funding would be greatly appreciated,Year with possibility of extending into summer,May,June,,,REDACTED
2026-05-07 19:47:07,2026-05-07 19:51:26,IP Address,50.145.6.174,100,259,True,2026-05-07 19:51:27,R_6kRx3wFtPDhmWJ3,,,,REDACTED,37.8657,-122.2571,anonymous,EN,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections",,Excellent,Excellent,Excellent,Excellent,Excellent,No,,,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars),Other",,"I was accepted into the program, and it's what worked best for my schedule. ","I would say I learned more about the research topic and the cross-connections between two fields that I thought were unrelated. ",Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in the same group.",,,Strongly considering,Yes,If I have a good experience in the program.,Year with possibility of extending into summer,March,March,,"I gained more knowledge and insight into a field I didn't know about before. I also got to work with other students on the same project which was satisfying. ",REDACTED
2026-05-07 23:14:41,2026-05-07 23:39:36,IP Address,71.198.112.178,100,1495,True,2026-05-07 23:39:37,R_1TV5iB2uAPZdDJ7,,,,REDACTED,37.9269,-122.3313,anonymous,EN,Kavli ENSI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To prepare for graduate school",,Very Good,Very Good,Very Good,Good,Very Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"The main difference between my prior research experiences and my experiences in the Discovery Hubs was the level of structure and intentional skill development. The Discovery Hubs provided a more supportive environment for learning how to conduct research, communicate ideas, and grow professionally. I especially appreciated the workshops and mentorship opportunities, which helped me build confidence in both my technical and collaborative skills. Compared to some of my previous experiences, the Discovery Hubs felt more focused on helping students learn and develop as researchers, not just contribute to projects.","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"I chose the Discovery Hubs because of the supportive and structured environment they offered for students who were still developing their research experience. I was drawn to the mentorship, workshops, and opportunity to build both technical and professional skills while contributing to meaningful research.","My experience in the Discovery Hubs strengthened my confidence as a researcher and helped me develop valuable technical, communication, and collaboration skills. It also reinforced my interest in pursuing research-related opportunities in materials science and showed me how impactful interdisciplinary research can be.",Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments",,"Yes, in the same group.",,,Position secured or offered accepted,Yes,"I would be more likely to participate in future opportunities with the Discovery Hubs if there were continued opportunities for mentorship and skill-building workshops, as well as collaborative research experiences. I especially value programs that help students grow professionally while connecting with a supportive research community.",Semester long,May,August,,"Participating in the Discovery Research Hub gave me the confidence to see myself as a researcher and someone capable of contributing meaningful ideas. One of the most special parts of the program was how supportive and encouraging the environment felt. Through the mentorship and workshop opportunities, I not only developed technical and professional skills, but also grew more confident developing my research capabilities.

As a student, having access to programs like this makes a huge difference. The Discovery Hubs created opportunities that made research feel more accessible and welcoming, and it helped me grow both academically and personally. I am truly grateful for the experience and for the people who made it possible. Thank you!",REDACTED
